0.044 0.046 0.038 0.034 0.056 0.074 0.018 0.016 0.066 0.044
0.368 0.256 0.334 0.306 0.272 0.236 0.18 0.344 0.224 0.408
0.35 0.344 0.306 0.358 0.38 0.524 0.48 0.322 0.306 0.494
0.038 0.034 0.018 0.034 0.026 0.028 0.03 0.04 0.014 0.038
0.056 0.06 0.05 0.024 0.02 0.024 0.074 0 0.022 0.042
0.036 0.002 0.02 0.012 0.01 0.016 0.034 0.002 0.026 0.006
0.042 0.032 0.042 0.032 0.016 0.03 0.034 0.026 0.034 0.058
0.056 0.034 0.078 0.084 0.058 0.102 0.088 0.07 0.082 0.05
0.724 0.628 0.616 0.672 0.66 0.698 0.69 0.696 0.572 0.792
0.044 0.03 0.022 0.042 0.038 0.038 0.046 0.042 0.054 0.024
0.04 0.054 0.026 0.022 0.03 0.024 0.018 0.042 0.038 0.016
0.072 0.034 0.056 0.148 0.106 0.166 0.072 0.158 0.162 0.218
0.016 0.012 0.016 0.034 0.024 0.026 0.022 0.04 0.058 0.078
0.034 0.076 0.068 0.044 0.04 0.054 0.056 0.066 0.042 0.054
0.032 0.054 0.114 0.038 0.072 0.146 0.034 0.022 0.052 0.046
0.4 0.328 0.432 0.276 0.394 0.458 0.504 0.482 0.258 0.332
0.282 0.336 0.324 0.12 0.302 0.294 0.366 0.366 0.14 0.2
0.252 0.218 0.236 0.318 0.366 0.33 0.35 0.234 0.284 0.262
0.214 0.146 0.138 0.158 0.262 0.134 0.254 0.206 0.236 0.132
0.214 0.102 0.134 0.132 0.062 0.11 0.164 0.234 0.082 0.13
0.03 0.016 0 0.03 0.026 0.024 0.006 0.046 0.038 0.048
0.048 0.014 0.03 0.034 0.044 0.054 0.038 0.06 0.056 0.032
0.152 0.084 0.19 0.114 0.044 0.11 0.118 0.072 0.102 0.082
0.064 0.078 0.048 0.08 0.068 0.136 0.14 0.174 0.12 0.088
0.022 0.022 0.224 0.2 0.194 0.192 0.184 0.174 0.186 0.02
0.058 0.044 0.028 0.042 0.068 0.032 0.06 0.034 0.052 0.098
0.022 0.036 0.01 0.046 0.02 0.01 0.012 0.018 0.01 0.038
0.028 0.04 0.016 0.028 0.022 0.016 0.006 0.01 0.016 0.02
0.51 0.564 0.344 0.368 0.346 0.562 0.396 0.432 0.342 0.458
0.11 0.134 0.038 0.042 0.18 0.138 0.108 0.15 0.076 0.104
0.104 0.108 0.164 0.07 0.104 0.064 0.054 0.056 0.072 0.076
0.27 0.342 0.202 0.288 0.242 0.27 0.326 0.276 0.156 0.284
0.004 0.01 0.046 0.02 0.004 0.016 0.004 0.01 0.01 0.022
0.008 0.042 0.042 0.034 0.026 0.024 0.036 0.04 0.042 0.042
