"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"148" 0.166 0.116 0.13 0.118 0.172 0.12 0.188 0.186 0.186 0.112
"149" 0.318 0.296 0.33 0.044 0.326 0.342 0.328 0.27 0.402 0.316
"150" 0.286 0.302 0.282 0.24 0.336 0.166 0.272 0.29 0.308 0.24
"151" 0.084 0.126 0.118 0.052 0.088 0.092 0.1 0.122 0.092 0.104
"152" 0.198 0.166 0.192 0.158 0.19 0.216 0.142 0.268 0.228 0.19
"153" 0.356 0.388 0.192 0.49 0.43 0.366 0.26 0.294 0.404 0.416
"154" 0.414 0.41 0.442 0.312 0.38 0.35 0.314 0.346 0.298 0.362
"155" 0.172 0.124 0.192 0.156 0.22 0.054 0.056 0.22 0.104 0.164
"156" 0.28 0.216 0.278 0.232 0.226 0.3 0.192 0.284 0.25 0.272
"157" 0.432 0.5 0.29 0.44 0.624 0.462 0.306 0.516 0.452 0.42
"158" 0.972 0.956 0.96 0.934 0.95 0.95 0.944 0.994 0.932 0.902
"159" 0.774 0.772 0.692 0.626 0.824 0.776 0.734 0.698 0.792 0.666
"160" 0.154 0.196 0.36 0.362 0.186 0.098 0.166 0.248 0.236 0.074
"161" 0.972 0.956 0.96 0.934 0.95 0.95 0.944 0.994 0.932 0.902
"162" 0.294 0.224 0.374 0.22 0.346 0.272 0.252 0.366 0.374 0.13
"163" 0.422 0.458 0.546 0.426 0.518 0.518 0.472 0.26 0.486 0.556
"164" 0.136 0.15 0.07 0.098 0.136 0.09 0.06 0.142 0.078 0.104
"165" 0.382 0.236 0.266 0.3 0.246 0.276 0.328 0.298 0.398 0.132
"166" 0.144 0.1 0.146 0.19 0.102 0.154 0.162 0.224 0.13 0.166
"167" 0.96 0.958 0.958 0.946 0.966 0.98 0.968 0.946 0.954 0.974
"168" 0.154 0.174 0.218 0.242 0.19 0.256 0.182 0.178 0.188 0.26
"169" 0.51 0.442 0.392 0.514 0.494 0.3 0.404 0.44 0.422 0.436
