"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"262" 0.062 0.026 0.078 0.006 0.006 0.024 0.01 0.002 0.01 0.026
"263" 0.062 0.026 0.078 0.006 0.006 0.024 0.01 0.002 0.01 0.026
"264" 0.156 0.14 0.146 0.07 0.08 0.28 0.194 0.068 0.078 0.202
"265" 0.156 0.14 0.146 0.07 0.08 0.28 0.194 0.068 0.078 0.202
"266" 0.156 0.14 0.146 0.07 0.08 0.28 0.194 0.068 0.078 0.202
"267" 0 0 0 0.006 0.006 0.006 0.01 0 0.01 0.002
"268" 0.022 0.056 0.098 0.004 0.036 0.016 0.054 0.024 0.02 0.044
"269" 0 0 0 0.008 0 0.004 0 0 0 0
"270" 0 0 0 0.008 0 0.004 0 0 0 0
"271" 0 0 0 0.008 0 0.004 0 0 0 0
"272" 0 0 0 0.008 0 0.004 0 0 0 0
"273" 0.046 0.058 0.032 0.07 0.058 0.048 0.018 0.056 0.042 0.056
"274" 0.096 0.234 0.08 0.164 0.164 0.104 0.094 0.202 0.106 0.146
"275" 0.096 0.234 0.08 0.164 0.164 0.104 0.094 0.202 0.106 0.146
"276" 0.004 0.014 0.002 0.002 0.002 0.004 0.002 0.002 0.006 0.006
"277" 0.176 0.148 0.142 0.07 0.146 0.082 0.242 0.084 0.068 0.192
"278" 0.176 0.148 0.142 0.07 0.146 0.082 0.242 0.084 0.068 0.192
"279" 0.024 0.032 0.008 0.018 0.038 0.002 0.296 0.028 0.018 0.058
"280" 0 0 0 0 0.002 0.004 0 0.002 0 0
"281" 0 0 0 0 0.002 0.004 0 0.002 0 0
"282" 0.286 0.314 0.35 0.304 0.316 0.262 0.35 0.358 0.33 0.262
"283" 0.286 0.314 0.35 0.304 0.316 0.262 0.35 0.358 0.33 0.262
"284" 0.048 0.026 0.018 0.028 0.026 0.024 0.03 0.026 0.02 0.026
"285" 0.286 0.314 0.35 0.304 0.316 0.262 0.35 0.358 0.33 0.262
"286" 0.286 0.314 0.35 0.304 0.316 0.262 0.35 0.358 0.33 0.262
"287" 0 0 0 0 0 0 0 0.002 0 0
"288" 0.192 0.068 0.08 0.1 0.094 0.06 0.094 0.056 0.098 0.066
"289" 0.192 0.068 0.08 0.1 0.094 0.06 0.094 0.056 0.098 0.066
"290" 0.002 0.004 0 0.002 0 0.008 0.004 0.012 0.004 0.002
"291" 0.002 0.004 0 0.002 0 0.008 0.004 0.012 0.004 0.002
